anime_ids	name	genre	type	episodes	rating	members
2712	Beelzebub Specials	Action, Comedy, Demons, School, Shounen, Supernatural	Special	16	7.44	9834
6308	Bishoujo Senshi Sailor Moon Memorial	Demons, Magic, Romance, Shoujo	OVA	5	7.44	7981
234	Black Bullet	Action, Mystery, Sci-Fi, Seinen	TV	13	7.44	320267
6685	Brigadoon: Marin to Melan	Adventure, Comedy, Drama, Mecha, Sci-Fi	TV	26	7.44	5636
377	C: The Money of Soul and Possibility Control	Action, Mystery, Super Power, Thriller	TV	11	7.44	156853
5070	Doraemon: Obaachan no Omoide	Comedy, Fantasy, Kids, Sci-Fi, Shounen	Movie	1	7.44	835
3714	El Hazard: The Magnificent World	Adventure, Comedy, Fantasy, Romance	OVA	7	7.44	10130
1210	Erementar Gerad	Adventure, Comedy, Fantasy, Magic, Romance, Super Power	TV	26	7.44	63193
1925	Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day	Action, Fantasy, Magic, Shounen, Supernatural	Special	1	7.44	26382
4476	Galaxy Angel 3	Comedy, Sci-Fi	TV	26	7.44	6244
748	Hayate no Gotoku!!: Atsu ga Natsuize - Mizugi-hen!	Action, Comedy, Harem, Parody, Romance	OVA	1	7.44	26587
584	Love Hina Christmas Special: Silent Eve	Comedy, Romance, Slice of Life	Special	1	7.44	45137
528	Maoyuu Maou Yuusha	Adventure, Demons, Fantasy, Historical, Romance	TV	12	7.44	164445
5441	Minami-ke Natsuyasumi	Comedy, Slice of Life	OVA	1	7.44	9580
68	Nabari no Ou	Action, Comedy, Drama, Fantasy, Shounen, Supernatural	TV	26	7.44	107384
478	Needless	Action, Comedy, Ecchi, Sci-Fi, Super Power	TV	24	7.44	86942
606	One Piece Movie 5: Norowareta Seiken	Action, Adventure, Comedy, Fantasy, Shounen, Super Power	Movie	1	7.44	35357
672	One Piece Movie 8: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi	Action, Adventure, Fantasy, Shounen	Movie	1	7.44	31909
641	One Piece: Umi no Heso no Daibouken-hen	Action, Adventure, Comedy, Fantasy, Shounen, Super Power	Special	1	7.44	19649
1015	Rekka no Honoo	Action, Adventure, Martial Arts, Shounen, Super Power	TV	42	7.44	35258
1605	Rozen Maiden (2013)	Action, Comedy, Drama, Magic, Seinen	TV	13	7.44	46117
5635	Soukou Kihei Votoms: Pailsen Files	Mecha, Military, Sci-Fi, Space	OVA	12	7.44	2861
2780	Soukyuu no Fafner: Dead Aggressor - Exodus	Action, Drama, Mecha, Military, Sci-Fi	TV	13	7.44	11882
219	Strike the Blood	Action, Ecchi, Fantasy, Harem, School, Shounen, Supernatural, Vampire	TV	24	7.44	231387
999	Strike the Blood: Valkyria no Oukoku-hen	Action, Ecchi, Fantasy, School, Shounen, Supernatural, Vampire	OVA	2	7.44	29176
2129	Tales of Zestiria the X: Saiyaku no Jidai	Action, Fantasy	Special	1	7.44	26647
2145	Tari Tari	Music, School, Slice of Life	TV	13	7.44	80960
5914	Tegamibachi Gakuen	Comedy	Special	25	7.44	6649
1388	Trinity Blood	Action, Supernatural, Vampire	TV	24	7.44	113791
712	Air Gear Special	Shounen, Sports	Special	1	7.43	33597
1119	Ao no Exorcist: Kuro no Iede	Action, Demons, Fantasy, Shounen, Supernatural	Special	1	7.43	59755
256	Break Blade	Action, Fantasy, Mecha, Military, Shounen	TV	12	7.43	46601
4667	Damekko Doubutsu	Comedy	TV	26	7.43	8024
5463	Detective Conan OVA 02: 16 Suspects	Adventure, Comedy, Mystery, Police, Shounen	OVA	1	7.43	8548
6554	Doraemon Movie 09: Nobita no Parallel Saiyuuki	Adventure, Fantasy, Kids, Sci-Fi, Shounen	Movie	1	7.43	1189
6560	Doraemon Movie 29: Shin Nobita no Uchuu Kaitakushi	Adventure, Comedy, Fantasy, Kids	Movie	1	7.43	1034
764	ef: A Tale of Melodies. - Prologue	Music	Special	1	7.43	13745
3700	Ganbarist! Shun	Comedy, Shounen, Sports	TV	30	7.43	1700
5142	Ginga Tetsudou no Yoru	Drama, Fantasy, Historical, Kids, Mystery	Movie	1	7.43	7755
509	Haiyore! Nyaruko-san W	Comedy, Parody, Sci-Fi	TV	12	7.43	84442
3393	Himouto! Umaru-chan: Umaru-chan Mou Ikkai!	Comedy, School, Seinen, Slice of Life	OVA	1	7.43	21413
184	Hori-san to Miyamura-kun	Comedy, Romance, School, Shounen	OVA	3	7.43	26535
899	Hyouka: Motsubeki Mono wa	Slice of Life	OVA	1	7.43	68823
950	Kakumeiki Valvrave 2nd Season	Action, Mecha, Space	TV	12	7.43	57434
1795	Kannagi	Comedy, School, Shounen, Supernatural	TV	13	7.43	94202
1726	Kekkai Sensen: Ousama no Restaurant no Ousama	Action, Fantasy, Shounen, Super Power, Supernatural, Vampire	OVA	1	7.43	9335
3140	Kiba	Adventure, Fantasy, Shounen	TV	51	7.43	47651
4429	Koi ni Naritai Aquarium	Music	Music	1	7.43	1683
2498	Mobile Suit Gundam I	Action, Adventure, Drama, Mecha, Military, Sci-Fi, Space	Movie	1	7.43	12877
1504	Nagasarete Airantou	Comedy, Ecchi, Fantasy, Harem, Romance	TV	26	7.43	52817
682	Naruto: Shippuuden Movie 1	Action, Adventure, Comedy, Fantasy, Shounen	Movie	1	7.43	108170
1170	Naruto: Shippuuden Movie 2 - Kizuna	Action, Martial Arts, Shounen, Supernatural	Movie	1	7.43	97818
648	One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!	Action, Adventure, Comedy, Fantasy, Shounen, Super Power	Special	1	7.43	17175
502	Ore no Imouto ga Konnani Kawaii Wake ga Nai.	Comedy, Seinen, Slice of Life	TV	13	7.43	194791
5978	Oseam	Adventure, Drama	Movie	1	7.43	3648
2919	Ou Dorobou Jing in Seventh Heaven	Adventure, Comedy, Fantasy, Psychological, Shounen	OVA	3	7.43	8561
3329	Peace Maker Kurogane	Action, Comedy, Historical, Samurai, Shounen	TV	24	7.43	35123
1163	Pokemon	Action, Adventure, Comedy, Fantasy, Kids	TV	276	7.43	229157
4338	Robot Carnival	Fantasy, Sci-Fi	OVA	1	7.43	7213
901	Robotics;Notes	Drama, Mystery, School, Sci-Fi	TV	22	7.43	107304
2585	Rurouni Kenshin: Special Techniques	Action, Comedy, Samurai	Special	1	7.43	6677
3830	Shounen Maid	Comedy, Shoujo, Slice of Life	TV	12	7.43	30363
4283	Slayers Excellent	Adventure, Comedy, Demons, Fantasy, Magic, Shounen, Supernatural	OVA	3	7.43	13842
1229	Strike Witches 2	Action, Ecchi, Magic, Military, Sci-Fi	TV	12	7.43	51114
4987	Tamayura: Hitotose - Attakai Kaze no Omoide, Nanode	Comedy, Drama, Slice of Life	Special	1	7.44	5533
6024	Tekken Chinmi	Action, Adventure, Historical, Martial Arts, Shounen	TV	20	7.43	1833
2381	Tenkuu Senki Shurato	Action, Fantasy, Magic, Shounen	TV	38	7.43	4914
4687	Tobe! Isami	Action, Adventure, Comedy, Romance, Shounen	TV	50	7.43	854
987	Trinity Seven	Action, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Supernatural	TV	12	7.43	208796
6435	Unico	Adventure, Fantasy, Kids	Movie	1	7.43	2063
109	Uragiri wa Boku no Namae wo Shitteiru	Adventure, Drama, Fantasy, Shoujo, Shounen Ai	TV	24	7.43	55040
1984	Ansatsu Kyoushitsu (TV): Deai no Jikan	Action, Comedy, School, Shounen	Special	1	7.42	29382
1367	Biohazard: Damnation	Action, Horror, Sci-Fi	Movie	1	7.42	10737
2529	Black Jack: Futari no Kuroi Isha	Drama	Movie	1	7.42	2634
1784	Cheonnyeon-yeowoo Yeowoobi	Drama, Fantasy, Sci-Fi	Movie	1	7.42	9045
81	Detroit Metal City: Birth of the Metal Devil	Comedy, Music, Parody, Romance	Special	1	7.42	16101
2107	Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku	Action, Adventure, Comedy, Fantasy, Shounen	TV	24	7.42	12505
6725	Dokidoki Densetsu: Mahoujin Guru Guru	Adventure, Comedy, Fantasy, Magic, Shounen	TV	38	7.42	1625
6558	Doraemon Movie 11: Nobita to Animal Planet	Adventure, Comedy, Fantasy, Kids, Sci-Fi, Shounen	Movie	1	7.42	1581
6555	Doraemon Movie 13: Nobita to Kumo no Oukoku	Adventure, Comedy	Movie	1	7.42	1817
1980	Hanayamata	Comedy, School, Seinen, Slice of Life	TV	12	7.42	55536
2209	Heisei Tanuki Gassen Ponpoko	Kids	Movie	1	7.42	34263
6427	Hibike! Euphonium Movie: Kitauji Koukou Suisougaku-bu e Youkoso	Music, School	Movie	1	7.42	8349
5695	Himitsu: The Revelation	Mystery, Police, Psychological, Sci-Fi, Shoujo	TV	26	7.42	11761
3650	Ikoku Meiro no Croisée Special	Historical, Seinen, Slice of Life	Special	1	7.42	5950
854	Kami nomi zo Shiru Sekai: 4-nin to Idol	Comedy, Music, Shounen, Supernatural	OVA	1	7.42	57797
2182	Kimi ni Todoke 2nd Season Specials	Comedy, Romance, Shoujo	Special	3	7.42	23498
4628	Kindaichi Shounen no Jikenbo Returns	Mystery, Shounen	TV	25	7.42	8128
210	Kuroko no Basket: Oshaberi Shiyokka	Comedy, School, Shounen, Sports	Special	1	7.42	23937
4430	Matantei Loki Ragnarok	Comedy, Magic, Mystery, Shounen, Supernatural	TV	26	7.42	25098
1946	MÄR	Action, Adventure, Comedy, Fantasy, Shounen	TV	102	7.42	28968
2543	Mobile Suit Gundam Seed Destiny Special Edition	Action, Drama, Mecha, Military, Romance, Sci-Fi, Space	Special	4	7.42	7799
2422	Onegai☆Teacher: Himitsu na Futari	Comedy, Ecchi, Romance, Sci-Fi	OVA	1	7.42	32134
1977	Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru OVA	Comedy, Romance, School	OVA	1	7.42	35583
888	Phi Brain: Kami no Puzzle - Orpheus Order-hen	Action, Game, Mystery, Shounen	TV	25	7.42	29878
1130	Phi Brain: Kami no Puzzle - Shukuteki! Rätsel-hen	Action, Game, Mystery, Shounen	TV	25	7.42	20424
2372	Saint Seiya: Shinku no Shounen Densetsu	Adventure, Fantasy, Sci-Fi, Shounen	Movie	1	7.42	8849
2376	Saint Seiya: Tenkai-hen Josou - Overture	Adventure, Sci-Fi, Shounen	Movie	1	7.42	11705
4785	Seikai no Monshou Special	Action, Military, Romance, Sci-Fi, Space	Special	1	7.42	2439
4370	Slayers Gorgeous	Adventure, Comedy, Fantasy, Magic, Supernatural	Movie	1	7.42	12755
4277	Slayers Return	Adventure, Comedy, Fantasy, Magic, Shounen	Movie	1	7.42	12909
4962	Taiho Shichau zo The Movie	Action, Comedy, Drama, Police, Shounen	Movie	1	7.42	4029
1285	Taishou Yakyuu Musume.	Comedy, Historical, School, Seinen, Sports	TV	12	7.42	12248
2147	Tokyo Majin Gakuen Kenpucho: Tou Dai Ni Maku	Action, Drama, Fantasy, Horror, Martial Arts, Mystery, School	TV	12	7.42	21972
6836	Yes! Precure 5 Movie: Kagami no Kuni no Miracle Daibouken!	Fantasy, Music, Romance, Shoujo	Movie	1	7.42	2319
476	Zero no Tsukaima: Princesses no Rondo - Yuuwaku no Sunahama	Comedy, Ecchi, Fantasy, Harem, Magic	Special	1	7.42	51816
86	07-Ghost	Action, Demons, Fantasy, Magic, Military, Shoujo	TV	25	7.41	126083
571	Aa! Megami-sama!	Comedy, Magic, Romance, Seinen, Supernatural	OVA	5	7.41	34590
650	Afro Samurai	Action, Adventure, Samurai	TV	5	7.41	135708
1513	Allison to Lillia	Action, Adventure, Shounen	TV	26	7.41	27571
6776	Aoyama Goushou Tanpenshuu	Adventure, Comedy, Mystery, Police, Shounen	Special	7	7.41	2177
4403	Chibi Maruko-chan Movie	Comedy, School, Shoujo	Movie	1	7.41	980
2108	Denpa Onna to Seishun Otoko Special	Comedy, Sci-Fi, Seinen	Special	1	7.41	34723
6361	Doraemon Movie 24: Nobita to Fushigi Kaze Tsukai	Adventure, Comedy, Fantasy, Kids	Movie	1	7.41	1973
1125	Ginga e Kickoff!!	Shounen, Sports	TV	39	7.41	11907
3016	Grappler Baki (TV)	Shounen, Sports	TV	24	7.41	23220
1843	Hamatora The Animation	Comedy, Mystery, Super Power	TV	12	7.41	133571
2405	Heavy Object	Action, Mecha, Military, Sci-Fi	TV	24	7.41	68382
3005	IGPX: Immortal Grand Prix (2005) 2nd Season	Mecha, Sci-Fi, Shounen, Sports	TV	13	7.41	6863
2953	Jyu Oh Sei	Action, Adventure, Drama, Mystery, Sci-Fi, Shoujo	TV	11	7.41	44766
2181	Kaichou wa Maid-sama!: Goshujinsama to Asonjao♥	Comedy, School, Shoujo	Special	1	7.41	41241
2284	Kimi ga Nozomu Eien	Drama, Romance, Slice of Life	TV	14	7.41	90379
1972	Kiniro Mosaic	Comedy, School, Slice of Life	TV	12	7.41	78131
1041	Konjiki no Gash Bell!!: 101 Banme no Mamono	Adventure, Shounen, Supernatural	Movie	1	7.41	4425
5205	Maria-sama ga Miteru 4th Specials	Comedy	Special	11	7.41	3659
1351	Minami-ke Okawari	Comedy, School, Slice of Life	TV	13	7.41	50837
1803	Mobile Suit Gundam 00 The Movie: A Wakening of the Trailblazer	Action, Mecha, Sci-Fi, Space	Movie	1	7.41	37069
694	Myself; Yourself	Drama, Romance, School	TV	13	7.41	115075
1750	Noir	Action, Drama, Mystery	TV	26	7.41	66036
5138	One Piece: Episode of Alabasta - Prologue	Action, Adventure, Fantasy, Shounen	OVA	1	7.41	4225
1752	Petshop of Horrors	Horror, Josei, Mystery, Supernatural	TV	4	7.41	32696
1409	Plastic Neesan	Comedy, School	ONA	12	7.41	83977
3432	Potemayo	Comedy, School, Seinen	TV	12	7.41	11411
4405	Precure All Stars Movie DX: Minna Tomodachi☆Kiseki no Zenin Daishuugou!	Action, Fantasy, Magic, Shoujo	Movie	1	7.41	2957
4810	Rail of the Star: A True Story of Children	Drama, Historical	Movie	1	7.41	1302
6228	Saiunkoku Monogatari Soushuuhen	Adventure, Comedy, Drama, Fantasy, Historical, Romance	Special	9	7.41	3263
440	Selector Infected WIXOSS	Game, Psychological	TV	12	7.41	80964
2260	Slayers Great	Adventure, Comedy, Fantasy, Magic, Shounen	Movie	1	7.41	12760
3704	Souten Kouro	Action, Adventure, Historical	TV	26	7.41	9852
5269	Tabisuru Nuigurumi: Traveling Daru	Kids, Slice of Life	OVA	1	7.41	2565
3020	Tenchi Muyou! Ryououki 3rd Season	Action, Comedy, Harem, Sci-Fi, Shounen, Space	OVA	6	7.41	12242
6552	The iDOLM@STER Cinderella Girls: Anytime, Anywhere with Cinderella.	Comedy, Drama, Music	Special	1	7.41	2602
855	Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou	Comedy, Romance, School, Super Power	Special	6	7.4	19758
1801	Canaan	Action, Seinen	TV	13	7.4	123217
2403	Cardfight!! Vanguard: Link Joker-hen	Action, Adventure, Demons, Game, Shounen	TV	59	7.4	9075
2980	Choujigen Game Neptune The Animation OVA	Action, Comedy, Fantasy, Sci-Fi	OVA	1	7.4	16067
2549	Digimon Adventure 02: Diablomon no Gyakushuu	Adventure, Comedy, Drama, Kids, Sci-Fi	Movie	1	7.4	31961
6471	Doraemon Movie 01: Nobita no Kyouryuu	Adventure, Comedy	Movie	1	7.4	1773
2023	Dragon Ball: Episode of Bardock	Action, Adventure, Comedy, Fantasy, Martial Arts, Sci-Fi, Shounen, Super Power	Special	1	7.4	29030
3129	Harukanaru Toki no Naka de: Maihitoyo	Drama, Fantasy, Historical, Magic, Romance, Shoujo, Supernatural	Movie	1	7.4	4019
6424	Ihatov Gensou: Kenji no Haru	Drama, Historical, Slice of Life	Movie	1	7.4	3607
1209	Inukami!	Comedy, Ecchi, Romance, Shounen, Supernatural	TV	26	7.4	47882
3163	Irregular Hunter X: The Day of Sigma	Action, Mecha, Sci-Fi, Shounen	OVA	1	7.4	6348
3366	Mahoutsukai ni Taisetsu na Koto: Natsu no Sora	Drama, Magic, Shounen, Slice of Life	TV	12	7.4	14911
1748	Mai-Otome	Comedy, Drama, Fantasy, Magic	TV	26	7.4	36924
5410	Masuda Kousuke Gekijou Gag Manga Biyori	Comedy, Parody	TV	12	7.4	5423
928	Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?: Onsen Manyuuki	Fantasy, Supernatural	OVA	1	7.4	44450
6475	Musashi no Ken	Shounen, Sports	TV	72	7.4	971
3368	Natsu no Arashi!	Comedy, Romance, Supernatural	TV	13	7.4	30098
1244	Nazo no Kanojo X	Ecchi, Romance, School, Seinen	TV	13	7.4	99788
1240	Nogizaka Haruka no Himitsu: Finale	Comedy, Romance	OVA	4	7.4	20660
6646	Onegai My Melody: Kuru Kuru Shuffle!	Comedy, Fantasy, Magic	TV	52	7.4	1962
652	Pokemon Advanced Generation: Mew to Hadou no Yuusha Lucario	Action, Adventure, Drama, Fantasy, Kids	Movie	1	7.4	46887
4886	Ramayana: The Legend of Prince Rama	Adventure	Movie	1	7.4	517
2929	Rockman.EXE Movie: Hikari to Yami no Program	Action, Adventure, Game, Kids	Movie	1	7.4	2562
2024	Seitokai no Ichizon Lv.2: Watasu Seitokai	Comedy, Harem, Parody, School	OVA	1	7.4	11554
73	Sekirei	Action, Comedy, Ecchi, Harem, Super Power	TV	12	7.4	182713
490	Sekirei: Pure Engagement - Kanwa ni Dai	Comedy, Ecchi, Harem	Special	1	7.4	26719
3169	Senjou no Valkyria 3: Tagatame no Juusou	Action, Fantasy, Military	OVA	2	7.4	9847
3370	Tetsuwan Birdy Decode: The Cipher	Action, Comedy, Sci-Fi	OVA	1	7.4	12944
63	The Sky Crawlers	Drama, Military	Movie	1	7.4	32660
3306	The Third: Aoi Hitomi no Shoujo	Action, Adventure, Sci-Fi, Seinen	TV	24	7.4	14304
64	Vampire Knight	Drama, Mystery, Romance, Shoujo, Supernatural, Vampire	TV	13	7.4	286826
634	Witchblade	Action, Sci-Fi, Super Power	TV	24	7.4	64697
2112	Wonderful Rush	Music	Music	1	7.4	6807
2474	After War Gundam X	Adventure, Drama, Mecha, Sci-Fi, Space	TV	39	7.39	19132
2190	Air Movie	Drama, Romance, Supernatural	Movie	1	7.39	44179
6171	Atashin&#039;chi	Comedy, Slice of Life	TV	330	7.39	1524
6309	Bishoujo Senshi Sailor Moon: Sailor Stars - Hero Club	Adventure, Comedy, Drama, Fantasy, Magic, Romance, Shoujo	OVA	3	7.39	4238
6570	Doraemon: 2112-nen Doraemon Tanjou	Comedy, Fantasy, Kids	Movie	1	7.39	1277
6099	Doraemon: Doraemon Comes Back	Comedy, Fantasy, Kids, Sci-Fi, Shounen	Special	1	7.39	723
731	Druaga no Tou: The Sword of Uruk	Adventure, Fantasy	TV	12	7.39	46237
2247	Fate/kaleid liner Prisma☆Illya 2wei Herz!	Action, Comedy, Fantasy, Magic, Slice of Life	TV	10	7.39	42499
2956	Fullmetal Alchemist: Reflections	Adventure, Comedy, Drama, Fantasy, Military, Shounen	Special	1	7.39	24987
3262	Genius Party	Action, Dementia, Fantasy, Mecha, Music, Psychological, Romance, Sci-Fi	Movie	7	7.39	18612
3268	Genius Party Beyond	Dementia, Fantasy, Music, Sci-Fi	Movie	5	7.39	10660
4804	H2	Comedy, Romance, Shounen, Sports	TV	41	7.39	4450
6378	Haha wo Tazunete Sanzenri	Adventure, Drama, Historical, Slice of Life	TV	52	7.39	3685
4721	Haikara-san ga Tooru	Drama, Historical, Romance, Shoujo, Slice of Life	TV	42	7.39	1155
893	Hunter x Hunter Movie: Phantom Rouge	Action, Adventure, Shounen, Super Power	Movie	1	7.39	44589
5478	Kaidan Restaurant	Horror, Kids, Mystery, Supernatural	TV	23	7.39	9994
1307	Koutetsujou no Kabaneri	Action, Drama, Fantasy, Horror	TV	12	7.39	253027
2654	Kuroshitsuji Picture Drama	Demons, Supernatural	Special	1	7.39	12446
1526	Machine-Doll wa Kizutsukanai	Action, Ecchi, Fantasy, School, Seinen	TV	12	7.39	136751
1619	Monster Musume no Iru Nichijou	Comedy, Ecchi, Fantasy, Harem, Romance, Seinen	TV	12	7.39	181845
98	Nyan Koi!	Comedy, Harem, Romance	TV	12	7.39	142264
3213	Ookiku Furikabutte: Natsu no Scorebook	Comedy, Sports	OVA	2	7.39	2167
3175	Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!	Adventure, Comedy, Shounen	Movie	1	7.39	13073
6568	Ranma ½: Nettou Uta Gassen	Comedy, Music	OVA	2	7.39	3676
4297	Rumiko Takahashi Anthology	Comedy, Drama, Romance, Shounen, Slice of Life, Supernatural	TV	13	7.39	3420
3216	Saber Marionette J to X	Action, Adventure, Comedy, Harem, Mecha, Sci-Fi	TV	26	7.39	8862
1133	Sankarea: Wagahai mo... Zombie de Aru...	Comedy, Ecchi, Horror, Romance, Shounen, Supernatural	Special	1	7.39	36573
1070	Shaman King Specials	Action, Comedy, Shounen, Supernatural	Special	5	7.39	12148
1324	Slayers: The Motion Picture	Adventure, Comedy, Fantasy, Magic, Shounen	Movie	1	7.39	16046
3025	Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?	Action, Comedy, Harem, Sci-Fi, Shounen, Space	OVA	1	7.39	6870
5041	The Rose and Women of Versailles	Adventure, Comedy, Drama, Historical, Romance, Shoujo	Special	1	7.39	1628
618	Tsubasa Chronicle: Tori Kago no Kuni no Himegimi	Action, Adventure, Drama, Fantasy, Shounen	Movie	1	7.39	33633
2008	Abenobashi Mahou☆Shoutengai	Comedy, Ecchi, Fantasy, Parody	TV	13	7.38	47752
3344	Angel Heart	Action, Drama, Mystery, Romance, Seinen	TV	50	7.38	9550
1122	Area no Kishi	Comedy, School, Shounen, Sports	TV	37	7.38	38310
3340	Ayashi no Ceres	Adventure, Comedy, Drama, Horror, Psychological, Romance, Shoujo, Supernatural	TV	24	7.38	38336
2855	Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi	Comedy, Magic	Special	1	7.38	9418
2044	Bakemonogatari Recap	Mystery, Romance, Supernatural	Special	1	7.38	28557
1083	Basquash!	Ecchi, Mecha, Shounen, Sports	TV	26	7.38	30323
2508	Black Jack the Movie	Drama	Movie	1	7.38	6404
5653	Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome	Comedy, Ecchi, Kids, School, Shounen, Slice of Life	Movie	1	7.38	1139
5466	Detective Conan OVA 07: A Challenge from Agasa! Agasa vs. Conan and the Detective Boys	Adventure, Comedy, Mystery, Police, Shounen	OVA	1	7.38	7627
6775	Doraemon: Nobita&#039;s the Night Before a Wedding	Fantasy	Movie	1	7.38	983
3151	Gakuen Utopia Manabi Straight!	Comedy, School, Slice of Life	TV	12	7.38	19315
2134	Gun x Sword	Action, Adventure, Drama, Mecha, Sci-Fi, Shounen	TV	26	7.38	45921
909	Hiiro no Kakera Dai Ni Shou	Fantasy, Romance, Shoujo, Supernatural	TV	13	7.38	26617
5971	Kuruneko Season 2	Comedy, Slice of Life	TV	49	7.38	675
3385	Kyoushoku Soukou Guyver (2005)	Adventure, Sci-Fi, Shounen	TV	26	7.38	12337
6220	Lupin III: Fuuma Ichizoku no Inbou	Action, Adventure, Comedy, Shounen	Movie	1	7.38	4018
4319	Mikan Enikki	Comedy, Romance, Shoujo, Slice of Life	TV	30	7.38	1096
3697	Oh! Edo Rocket	Comedy, Drama, Fantasy, Historical, Sci-Fi	TV	26	7.38	8221
791	Ookami-san to Shichinin no Nakama-tachi	Comedy, Parody, Romance	TV	12	7.38	145982
3270	Rain Town	Drama	ONA	1	7.38	12489
6680	Ranma ½: Battle ga Ippai 29-nin no Korinai Yatsura	Comedy, Martial Arts, Slice of Life	OVA	1	7.38	2242
1076	RideBack	Action, Drama, Mecha, School, Sci-Fi	TV	12	7.38	32835
3190	Saki Achiga-hen: Episode of Side-A	Game, School, Slice of Life	TV	12	7.38	22358
2299	School Rumble San Gakki	Comedy, Romance, School, Shounen	OVA	2	7.38	41898
727	Shikabane Hime: Aka	Action, Horror, Martial Arts	TV	13	7.38	71502
1193	Solty Rei	Action, Sci-Fi, Super Power	TV	24	7.38	17943
3194	Soukyuu no Fafner: Dead Aggressor	Action, Drama, Mecha, Military, Sci-Fi	TV	25	7.38	27516
3297	Spiral: Suiri no Kizuna	Drama, Mystery, Shounen	TV	25	7.38	36187
2942	The iDOLM@STER Cinderella Girls 2nd Season	Comedy, Drama, Music	TV	12	7.38	16736
4738	Tiger Mask	Action, Drama, Shounen, Sports	TV	105	7.38	4031
4256	Tokyo Marble Chocolate	Romance, Slice of Life	OVA	2	7.38	15425
5422	Zoids Genesis	Action, Adventure, Comedy, Mecha, Military	TV	50	7.38	9559
815	Amagami SS OVA	Romance, School	OVA	6	7.37	31010
4373	Bishoujo Senshi Sailor Moon SuperS Gaiden: Ami-chan no Hatsukoi	Comedy, Magic, Romance, Shoujo	Special	1	7.37	15135
1733	Captain Tsubasa J	Action, Shounen, Sports	TV	47	7.37	13927
4849	Chiisana Ahiru no Ooki na Ai no Monogatari: Ahiru no Kwak	Adventure, Comedy, Drama, Fantasy, Kids	TV	52	7.37	3363
3435	D.C.II S.S.: Da Capo II Second Season	Comedy, Drama, Fantasy, Harem, Romance	TV	13	7.37	20581
4856	Detective Conan OVA 01: Conan vs. Kid vs. Yaiba	Adventure, Comedy, Mystery, Shounen	OVA	1	7.37	10294
5465	Detective Conan OVA 05: The Target is Kogoro! The Detective Boys&#039; Secret Investigation	Adventure, Comedy, Mystery, Police, Shounen	OVA	1	7.37	7666
651	Digimon Adventure 02	Action, Adventure, Comedy, Drama, Fantasy, Kids	TV	50	7.37	120268
6556	Doraemon Movie 12: Nobita no Dorabian Nights	Adventure, Comedy, Fantasy, Kids, Shounen	Movie	1	7.37	1833
1550	Fushigi Yuugi OVA 2	Adventure, Drama, Fantasy, Historical, Martial Arts, Romance, Shoujo	OVA	6	7.37	13508
4477	Galaxy Angel 3 Specials	Comedy, Sci-Fi	Special	2	7.37	2574
4478	Galaxy Angel 4	Comedy, Sci-Fi	TV	13	7.37	5046
2828	Ghost in the Shell: Nyuumon Arise	Comedy	TV	26	7.37	4636
1282	Ghost in the Shell: Stand Alone Complex 2nd GIG - Tachikoma na Hibi	Comedy, Mecha, Sci-Fi	Special	26	7.37	14240
3833	Girls und Panzer der Film: Arisu War!	Military, School	Special	1	7.36	6548
860	Hellsing: The Dawn	Action, Horror, Seinen, Supernatural, Vampire	Special	3	7.37	40548
1713	High School DxD BorN: Ishibumi Ichiei Kanzen Kanshuu! Mousou Bakuyou Kaijo Original Video	Comedy, Ecchi	Special	6	7.37	18288
895	High School DxD Specials	Comedy, Demons, Ecchi, Harem, Romance, School	Special	6	7.37	75439
1107	Hunter x Hunter Pilot	Action, Adventure, Shounen, Super Power	OVA	1	7.37	10375
2768	Jormungand: Perfect Order - First Stage Soushuuhen	Action, Adventure, Seinen	Special	1	7.37	6522
6502	Keroro Gunsou Movie 5: Tanjou! Kyuukyoku Keroro, Kiseki no Jikuu-jima, de arimasu!!	Comedy	Movie	1	7.37	1577
1147	Mangaka-san to Assistant-san to The Animation	Comedy, Ecchi, Harem, Seinen, Slice of Life	TV	12	7.37	108642
1153	Mangaka-san to Assistant-san to The Animation Specials	Comedy, Ecchi, Harem, Seinen, Slice of Life	Special	6	7.37	21564
4651	Mazinkaiser: Shitou! Ankoku Dai Shogun	Action, Mecha	OVA	1	7.37	2216
2528	Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars	Drama, Mecha, Military, Sci-Fi, Space	Movie	1	7.37	5705
1292	Nichijou: Nichijou no 0-wa	Comedy, School, Slice of Life	OVA	1	7.37	37342
